"ID","Premises or Building Activity","District","Resourse Name","Municipal Name","Address","Postal Code","City","Province","Téléphone général","Téléphone secteur Adulte","Téléphone secteur Jeunesse","Site Internet","Transport","Latitude","Longitude"
1,"Lieu en activité","Ahuntsic-Cartierville ","Bibliothèque","Bibliothèque d'Ahuntsic","10300, rue Lajeunesse","H2L 2E5","Montréal","Québec","514 872-0568",,,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=2 ","Autobus 140,180 depuis le métro Sauvé, ou autobus 31 depuis le métro Henri-Bourassa","45.516829","-73.557994"
2,"Lieu en activité","Ahuntsic-Cartierville ","Bibliothèque","Bibliothèque de Cartierville","5900, rue De Salaberry","H4J 1J8","Montréal","Québec","514 872-6989",,,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=10 ","Autobus 180 depuis le métro Sauvé, ou autobus 64 depuis le métro Sauvé","45.527201","-73.713405"
3,"Lieu en activité","Ahuntsic-Cartierville ","Bibliothèque","Bibliothèque De Salaberry","4170, rue De Salaberry","H4J 1H1","Montréal","Québec","514 872-1521",,,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=54 ","Autobus 180 depuis le métro Sauvé, ou autobus 117 depuis le métro Du Collège","45.534556","-73.704195"
4,"Lieu en activité","Ahuntsic-Cartierville ","Centre de loisir culturel","Centre culturel Cartierville","5945, boulevard Gouin Ouest, 2e étage","H4J 1E5","Montréal","Québec","514 872-6248",,,"http://www.centrecultureldecartierville.com/accueil%201.html ","Autobus 69 O à partir du métro Henri-Bourassa","45.5309512","-73.7198251"
5,"Lieu en activité","Ahuntsic-Cartierville ","Musées municipaux, centre d'interprétation et autres lieux","Cité Historia Musée d'histoire du Sault-au-Récollet","10897, rue du Pont","H2B 2H3","Montréal","Québec","514 850-4222",,,"http://citehistoria.weebly.com/ ","Autobus 69 E à partir du métro Henri-Bourasssa","45.574653","-73.660397"
6,"Lieu en activité","Ahuntsic-Cartierville ","Accès culture","Maison de la culture Ahuntsic-Cartierville","10300, rue Lajeunesse","H3L 2E4","Montréal","Québec","514 872-8749",,,"www.accesculture.com/emplacement/ahuntsiccartierville ","métro Henri-Bourassa","45.553914","-73.6637"
7,"Lieu en activité","Anjou","Bibliothèque","Bibliothèque Jean-Corbeil","7500, avenue Goncourt","H1K 3X9","Montréal","Québec","514 493-8260",,,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=22 ","Autobus 28 N, 85 E, 141 depuis le métro Honoré-Beaugrand","45.603291","-73.559177"
8,"Lieu en activité","Anjou","Accès culture","Église Jean XXIII","7101, avenue de l'Alsace","H1J 2K5","Montréal","Québec","514 493-8200",,,"http://www.accesculture.com/emplacement/EgliseJeanXXIII ","Autobus 44 N depuis le métro Radisson","45.603705","-73.58438"
9,"Lieu en activité","Anjou","Bibliothèque","Bibliothèque Haut-Anjou","7070, rue Jarry Est","H1J 1G4","Montréal","Québec","514 493-8271",,,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=18 ","Autobus 193 E depuis le métro Jarry ou 44 depuis le métro Radisson","45.601288","-73.575989"
10,"Lieu en activité","Côte-des-Neiges-Notre-Dame-de-Grâce","Bibliothèque","Bibliothèque Benny","3465, avenue Benny","H4B 2R9","Montréal","Québec",,"514 872-4147","514 872-4636","http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=6 ","Autobus 104 O, 105 depuis le métro Vendôme ou 138 depuis le métro Atwater","45.46532","-73.627673"
11,"Lieu en activité","Côte-des-Neiges-Notre-Dame-de-Grâce","Bibliothèque","Bibliothèque de Côte-des-Neiges","5290, chemin de la Côte-des-Neiges","H3T 1Y2","Montréal","Québec",,"514 872-6603","514 872-5118","http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=13 ","Métro Côte-des-Neiges ou autobus 165 depuis le métro Guy-Concordia ou 51, 166 depuis le métro Snowdon","45.496087","-73.622123"
12,"Lieu en activité","Côte-des-Neiges-Notre-Dame-de-Grâce","Bibliothèque","Bibliothèque interculturelle","6767, chemin de la Côte-des-Neiges","H3S 2T6","Montréal","Québec",,"514 868-4715","514 868-4716","http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=7 ","Autobus 165 N depuis le métro Côte-des-Neiges ou 165 depuis le métro Guy-Concordia","45.503213","-73.637049"
13,"Lieu en activité","Côte-des-Neiges-Notre-Dame-de-Grâce","Bibliothèque","Bibliothèque de Notre-Dame-de-Grâce","3755, rue Botrel","H4A 3G8","Montréal","Québec",,"514 872-2398","514 872-2377","http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=35 ","Autobus 24 depuis le métro Villa-Maria ou 102 depuis le métro Vendôme ou 17 depuis le métro Place Saint-Henri ou 63, 138 depuis le métro Atwater ","45.47555","-73.614584"
14,"Construction","Côte-des-Neiges-Notre-Dame-de-Grâce","Accès culture","Centre culturel de Notre-Dame-de-Grâce","6400, avenue Monkland",,"Montréal","Québec",,,,,,,
15,"Lieu en activité","Côte-des-Neiges-Notre-Dame-de-Grâce","Musées municipaux, centre d'interprétation et autres lieux","Centre Segal des arts de la scène au Saidye","5170, chemin de la Côte-Sainte-Catherine","H3W 1M7","Montréal","Québec","514 739-2301",,,"http://www.accesculture.com/emplacement/centresegaldesartsdelascene ","Métro Côte-des-Neiges ou Snowdon, autobus 17 ou 129","45.488827","-73.635797"
16,"Lieu en activité","Côte-des-Neiges-Notre-Dame-de-Grâce","Accès culture","Maison de la culture Côte-des-Neiges","5290, chemin de la Côte-des-Neiges","H3T 1Y2","Montréal","Québec","514 872-6889",,,"http://www.accesculture.com/emplacement/maisondelaculturecotedesneiges ","Métro Côte-des-Neiges ou autobus 165 depuis le métro Guy-Concordia ou 51, 166 depuis le métro Snowdon","45.4960623","-73.6221181"
17,"Lieu en activité","Côte-des-Neiges-Notre-Dame-de-Grâce","Accès culture","Maison de la culture Notre-Dame-de-Grâce","3755, rue Botrel","H4A 1L3","Montréal","Québec","514 872-2157",,,"http://www.accesculture.com/emplacement/maisondelaculturenotredamedegrace ","Autobus 24 depuis le métro Villa-Maria ou 102 depuis le métro Vendôme ou 17 depuis le métro Place Saint-Henri ou 63, 138 depuis le métro Atwater ","45.47551","-73.614579"
18,"Lieu en activité","Lachine","Bibliothèque","Bibliothèque de Saint-Pierre","183, rue des Érables","H8R 1B1","Montréal","Québec","514 634-3471 poste 826",,,"http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=51 ","Autobus 90 O depuis le métro Vendôme","45.445771","-73.651088"
19,"Relocalisation temporaire","Lachine","Bibliothèque","Bibliothèque Saul-Bellow","800, rue Sherbrooke","H8S 1H2","Montréal","Québec",,"514 634-3471 poste 339","514 634-3471 poste 338","http://ville.montreal.qc.ca/portal/page?_pageid=4276,5623058&_dad=portal&_schema=PORTAL&section=horaires_coordonnees&lieu=55 ","Autobus 110, 195 depuis le métro Angrignon ou 191, 190 depuis le métro Lionel-Groulx","45.444973","-73.670962"
20,"Lieu en activité","Lachine","Accès culture","Complexe culturel Guy-Decarie (Salle de spectacle de l'Entrepôt)","2901, boulevar Saint-Joseph","H8S 4B7","Montréal","Québec","514 634-3471 poste 302",,,"http://www.accesculture.com/emplacement/Entrepot ","Métro Agrignon, autobus 195","45.433558","-73.689923"
21,"Lieu en activité","Lachine","Musées municipaux, centre d'interprétation et autres lieux","Musée de Lachine - Maison Leber-Lemoyne et Musée plein air de Lachine","1, chemin du musée","H8S 4L9","Montréal","Québec","514 634-3478",,,"http://ville.montreal.qc.ca/portal/page?_pageid=3156,3579362&_dad=portal&_schema=PORTAL ",,"45.4294214","-73.6660012"
